Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
84,Farid Boulaya,dz ALG,FW,Metz,26,1993,19,8,821,9.1,2,1,3,2,0,0,1,1,1.8,1.8,2.1,3.9,33,44,54,0.22,0.11,0.33,0.22,0.33,0.2,0.23,0.43,0.2,0.43,Matches,2019-2020
85,Benjamin Bourigeaud,fr FRA,MF,Rennes,25,1994,25,21,"1,903",21.1,2,2,4,2,0,0,5,0,2.5,2.5,2.3,4.9,30,120,58,0.09,0.09,0.19,0.09,0.19,0.12,0.11,0.23,0.12,0.23,Matches,2019-2020
86,Bilal Boutobba,fr FRA,MF,Montpellier,20,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
87,John Boye,gh GHA,DF,Metz,32,1987,24,24,"2,115",23.5,2,0,2,2,0,0,6,0,2.3,2.3,0.1,2.4,1,28,0,0.09,0,0.09,0.09,0.09,0.1,0,0.1,0.1,0.1,Matches,2019-2020
88,Domagoj Bradarić,hr CRO,DF,Lille,19,1999,18,16,"1,419",15.8,0,1,1,0,0,0,1,0,0.4,0.4,1.3,1.7,35,44,95,0,0.06,0.06,0,0.06,0.03,0.08,0.11,0.03,0.11,Matches,2019-2020
89,Anthony Briançon,fr FRA,DF,Nîmes,24,1994,22,20,"1,737",19.3,1,0,1,1,0,0,0,2,2,2,0.4,2.3,15,48,2,0.05,0,0.05,0.05,0.05,0.1,0.02,0.12,0.1,0.12,Matches,2019-2020
90,Jimmy Briand,fr FRA,FW,Bordeaux,33,1985,22,18,"1,525",16.9,7,1,8,6,1,1,1,0,5.2,4.5,0.8,5.3,9,15,73,0.41,0.06,0.47,0.35,0.41,0.31,0.05,0.36,0.26,0.31,Matches,2019-2020
91,Dylan Bronn,tn TUN,DF,Metz,24,1995,9,9,810,9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,11,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,2019-2020
92,Lucas Buadés,fr FRA,"MF,FW",Nîmes,21,1997,6,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
93,Patrick Burner,mq MTQ,DF,Nice,23,1996,20,15,"1,434",15.9,1,1,2,1,0,0,6,1,0.3,0.3,0.8,1.1,20,101,32,0.06,0.06,0.13,0.06,0.13,0.02,0.05,0.07,0.02,0.07,Matches,2019-2020
94,Ludovic Butelle,fr FRA,GK,Angers,36,1983,26,26,"2,340",26,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
95,Marcin Bułka,pl POL,GK,Paris S-G,19,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2019-2020
96,Yohan Cabaye,fr FRA,MF,Saint-Étienne,33,1986,15,12,858,9.5,0,1,1,0,0,0,3,0,0.5,0.5,0.3,0.9,11,59,11,0,0.1,0.1,0,0.1,0.05,0.04,0.09,0.05,0.09,Matches,2019-2020
97,Manuel Cabit,mq MTQ,DF,Metz,26,1993,3,3,270,3,0,1,1,0,0,0,2,0,0,0,0.7,0.7,8,9,14,0,0.33,0.33,0,0.33,0,0.23,0.23,0,0.23,Matches,2019-2020
98,Anthony Caci,fr FRA,DF,Strasbourg,22,1997,8,8,691,7.7,1,4,5,1,0,0,0,0,0.4,0.4,1.9,2.3,12,52,20,0.13,0.52,0.65,0.13,0.65,0.05,0.25,0.3,0.05,0.3,Matches,2019-2020
99,Jhonder Cádiz,ve VEN,"FW,MF",Dijon,24,1995,17,7,799,8.9,2,2,4,2,0,0,3,0,3.2,3.2,0.9,4.1,25,20,64,0.23,0.23,0.45,0.23,0.45,0.36,0.1,0.46,0.36,0.46,Matches,2019-2020
100,Mathieu Cafaro,fr FRA,"FW,MF",Reims,22,1997,13,12,924,10.3,1,2,3,0,1,1,3,1,2.7,1.9,2.1,4,34,36,75,0.1,0.19,0.29,0,0.19,0.26,0.21,0.47,0.18,0.39,Matches,2019-2020
101,Jonathan Cafu,br BRA,DF,Bordeaux,28,1991,3,2,201,2.2,0,0,0,0,0,0,0,0,0,0,0.1,0.2,8,2,16,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,Matches,2019-2020
102,Arturo Calabresi,it ITA,DF,Amiens,23,1996,21,21,"1,878",20.9,1,1,2,1,0,0,5,0,0.8,0.8,1.1,1.9,20,68,23,0.05,0.05,0.1,0.05,0.1,0.04,0.05,0.09,0.04,0.09,Matches,2019-2020
103,Duje Ćaleta-Car,hr CRO,DF,Marseille,22,1996,23,20,"1,886",21,1,1,2,1,0,0,6,0,1.4,1.4,0.5,1.9,20,75,3,0.05,0.05,0.1,0.05,0.1,0.07,0.02,0.09,0.07,0.09,Matches,2019-2020
104,Mahdi Camara,fr FRA,MF,Saint-Étienne,21,1998,12,10,901,10,0,0,0,0,0,0,2,1,0.3,0.3,0.2,0.5,19,30,13,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches,2019-2020
105,Souleymane Camara,sn SEN,FW,Montpellier,36,1982,13,0,163,1.8,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,1,8,14,0,0,0,0,0,0.17,0.24,0.41,0.17,0.41,Matches,2019-2020
106,Eduardo Camavinga,fr FRA,MF,Rennes,16,2002,25,24,"2,107",23.4,1,2,3,1,0,0,4,0,0.9,0.9,0.7,1.6,48,96,24,0.04,0.09,0.13,0.04,0.13,0.04,0.03,0.07,0.04,0.07,Matches,2019-2020
107,Pierrick Capelle,fr FRA,"MF,DF",Angers,32,1987,24,20,"1,747",19.4,1,2,3,1,0,0,7,0,2.6,2.6,2.6,5.2,50,68,102,0.05,0.1,0.15,0.05,0.15,0.14,0.13,0.27,0.14,0.27,Matches,2019-2020
108,Maxence Caqueret,fr FRA,MF,Lyon,19,2000,8,7,568,6.3,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,6,45,12,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,Matches,2019-2020
