Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
247,Pantelis Hatzidiakos,gr GRE,DF,Cagliari,26,1997,13,13,856,9.5,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,3,34,7,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,2023-2024
248,Silvan Hefti,ch SUI,"MF,DF",Genoa,25,1997,6,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024
249,Liam Henderson,sct SCO,MF,Empoli,27,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024
250,Matheus Henrique,br BRA,MF,Sassuolo,25,1997,31,27,"2,501",27.8,2,2,4,2,0,0,8,1,2.3,2.3,1.6,3.9,43,94,44,0.07,0.07,0.14,0.07,0.14,0.08,0.06,0.14,0.08,0.14,Matches,2023-2024
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,2023-2024
251,Thomas Henry,fr FRA,FW,Hellas Verona,28,1994,18,2,334,3.7,3,0,3,3,0,1,2,2,3.3,2.5,0,2.5,2,3,20,0.81,0,0.81,0.81,0.81,0.88,0.01,0.89,0.66,0.68,Matches,2023-2024
252,Theo Hernández,fr FRA,DF,Milan,25,1997,32,31,"2,791",31,5,4,9,4,1,2,11,1,4.9,3.4,4.3,7.7,116,166,124,0.16,0.13,0.29,0.13,0.26,0.16,0.14,0.3,0.11,0.25,Matches,2023-2024
253,Isak Hien,se SWE,DF,Hellas Verona,24,1999,10,9,864,9.6,0,0,0,0,0,0,1,1,0.4,0.4,0,0.4,8,26,1,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,2023-2024
254,Isak Hien,se SWE,DF,Atalanta,24,1999,16,9,937,10.4,0,1,1,0,0,0,3,0,0.2,0.2,0.1,0.3,0,24,0,0,0.1,0.1,0,0.1,0.02,0.01,0.03,0.02,0.03,Matches,2023-2024
255,Emil Holm,se SWE,DF,Atalanta,23,2000,22,12,947,10.5,1,1,2,1,0,0,5,0,2.7,2.7,0.8,3.6,28,27,80,0.1,0.1,0.19,0.1,0.19,0.26,0.08,0.34,0.26,0.34,Matches,2023-2024
256,Martin Hongla,cm CMR,MF,Hellas Verona,25,1998,15,12,"1,084",12,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,6,57,6,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches,2023-2024
257,Sydney van Hooijdonk,nl NED,FW,Bologna,23,2000,9,2,212,2.4,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,1,2,9,0,0,0,0,0,0.26,0.05,0.31,0.26,0.31,Matches,2023-2024
258,Dean Huijsen,es ESP,DF,Roma,18,2005,13,4,509,5.7,2,0,2,2,0,0,4,0,0.4,0.4,0.1,0.5,4,18,15,0.35,0,0.35,0.35,0.35,0.07,0.01,0.08,0.07,0.08,Matches,2023-2024
259,Dean Huijsen,es ESP,DF,Juventus,18,2005,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024
260,Elseid Hysaj,al ALB,DF,Lazio,29,1994,22,11,"1,199",13.3,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,27,51,41,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,Matches,2023-2024
261,Arijon Ibrahimović,de GER,"FW,DF",Frosinone,17,2005,16,5,474,5.3,1,1,2,1,0,0,1,0,0.8,0.8,0.7,1.5,10,22,54,0.19,0.19,0.38,0.19,0.38,0.15,0.13,0.28,0.15,0.28,Matches,2023-2024
262,Jonathan Ikone,fr FRA,FW,Fiorentina,25,1998,28,18,"1,682",18.7,3,1,4,3,0,0,5,0,4.6,4.6,2,6.6,51,58,154,0.16,0.05,0.21,0.16,0.21,0.25,0.1,0.35,0.25,0.35,Matches,2023-2024
263,Chukwubuikem Ikwuemesi,ng NGA,FW,Salernitana,21,2001,25,11,"1,061",11.8,1,1,2,1,0,0,2,0,2.4,2.4,0.7,3.1,11,10,70,0.08,0.08,0.17,0.08,0.17,0.21,0.06,0.26,0.21,0.26,Matches,2023-2024
264,Ivan Ilić,rs SRB,MF,Torino,22,2001,31,25,"2,098",23.3,3,2,5,3,0,0,3,0,2.1,2.1,5,7.1,49,138,52,0.13,0.09,0.21,0.13,0.21,0.09,0.21,0.3,0.09,0.3,Matches,2023-2024
265,Samuel Iling-Junior,eng ENG,"DF,MF",Juventus,19,2003,24,4,810,9,1,2,3,1,0,0,1,0,0.7,0.7,1.3,2,29,25,64,0.11,0.22,0.33,0.11,0.33,0.08,0.14,0.23,0.08,0.23,Matches,2023-2024
266,Ciro Immobile,it ITA,FW,Lazio,33,1990,31,21,"1,652",18.4,7,1,8,3,4,4,8,0,9.7,6.6,2.1,8.6,19,39,123,0.38,0.05,0.44,0.16,0.22,0.53,0.11,0.64,0.36,0.47,Matches,2023-2024
267,Gino Infantino,ar ARG,MF,Fiorentina,20,2003,6,0,96,1.1,0,0,0,0,0,0,1,0,0,0,0,0.1,0,7,4,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05,Matches,2023-2024
268,Gustav Isaksen,dk DEN,FW,Lazio,22,2001,28,12,"1,074",11.9,3,1,4,3,0,0,3,0,1.6,1.6,2.6,4.2,36,21,95,0.25,0.08,0.34,0.25,0.34,0.13,0.22,0.35,0.13,0.35,Matches,2023-2024
269,Ardian Ismajli,al ALB,DF,Empoli,26,1996,26,23,"2,045",22.7,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,9,49,3,0,0,0,0,0,0.01,0,0.02,0.01,0.02,Matches,2023-2024
270,Armando Izzo,it ITA,DF,Monza,31,1992,23,20,"1,650",18.3,0,0,0,0,0,0,9,0,0.7,0.7,0.5,1.1,15,59,7,0,0,0,0,0,0.04,0.03,0.06,0.04,0.06,Matches,2023-2024
271,Filip Jagiełło,pl POL,MF,Genoa,25,1997,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024
272,Jakub Jankto,cz CZE,"MF,FW",Cagliari,27,1996,18,13,872,9.7,1,2,3,1,0,0,0,0,1.5,1.5,0.5,1.9,12,26,48,0.1,0.21,0.31,0.1,0.31,0.16,0.05,0.21,0.15,0.2,Matches,2023-2024
273,Juan Jesus,br BRA,DF,Napoli,32,1991,24,23,"2,116",23.5,1,0,1,1,0,0,7,0,1.3,1.3,0.3,1.6,6,82,2,0.04,0,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07,Matches,2023-2024
274,Álex Jiménez,es ESP,DF,Milan,18,2005,3,0,68,0.8,0,0,0,0,0,0,1,0,0,0,0.1,0.1,2,2,3,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches,2023-2024
275,Kaio Jorge,br BRA,FW,Frosinone,21,2002,20,8,812,9,3,0,3,2,1,2,2,0,5.4,3.8,0.3,4.2,6,11,46,0.33,0,0.33,0.22,0.22,0.6,0.03,0.64,0.43,0.46,Matches,2023-2024
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,2023-2024
276,Luka Jović,rs SRB,FW,Milan,25,1997,23,8,877,9.7,6,1,7,6,0,0,2,1,4.9,4.9,0.8,5.7,6,22,47,0.62,0.1,0.72,0.62,0.72,0.5,0.09,0.59,0.5,0.59,Matches,2023-2024
277,Hamed Junior Traorè,ci CIV,MF,Napoli,23,2000,9,5,382,4.2,0,0,0,0,0,0,1,0,0.9,0.9,0.7,1.6,12,21,19,0,0,0,0,0,0.2,0.17,0.37,0.2,0.37,Matches,2023-2024
278,Mohamed Kaba,fr FRA,MF,Lecce,21,2001,23,15,"1,378",15.3,0,0,0,0,0,0,4,1,1.2,1.2,0.9,2,14,60,32,0,0,0,0,0,0.08,0.06,0.13,0.08,0.13,Matches,2023-2024
279,Christian Kabasele,be BEL,DF,Udinese,32,1991,13,10,861,9.6,1,1,2,1,0,0,5,0,1.2,1.2,0.5,1.6,7,22,1,0.1,0.1,0.21,0.1,0.21,0.12,0.05,0.17,0.12,0.17,Matches,2023-2024
280,Yayah Kallon,sl SLE,FW,Hellas Verona,22,2001,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024
281,Pierre Kalulu,fr FRA,DF,Milan,23,2000,9,4,374,4.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,6,19,11,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches,2023-2024
282,Daichi Kamada,jp JPN,MF,Lazio,26,1996,29,17,"1,544",17.2,2,2,4,2,0,0,3,0,1.8,1.8,2.8,4.6,40,96,78,0.12,0.12,0.23,0.12,0.23,0.11,0.16,0.27,0.11,0.27,Matches,2023-2024
283,Hassane Kamara,ci CIV,DF,Udinese,29,1994,35,27,"2,225",24.7,1,1,2,1,0,0,4,0,1.9,1.9,2.8,4.8,61,81,94,0.04,0.04,0.08,0.04,0.08,0.08,0.11,0.19,0.08,0.19,Matches,2023-2024
284,Yann Karamoh,fr FRA,"MF,FW",Torino,25,1998,10,1,162,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,11,5,12,0,0,0,0,0,0.08,0.03,0.11,0.08,0.11,Matches,2023-2024
285,Jesper Karlsson,se SWE,FW,Bologna,25,1998,7,4,344,3.8,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,13,16,35,0,0,0,0,0,0.11,0.08,0.19,0.11,0.19,Matches,2023-2024
