Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
15,Ricky Álvarez,ar ARG,MF,Sampdoria,28,1988,21,11,987,11,2,2,4,2,0,0,3,1,0.18,0.18,0.36,0.18,0.36,Matches,2016-2017
16,Bruno Alves,pt POR,DF,Cagliari,34,1981,36,36,"3,240",36,1,0,1,1,0,0,5,1,0.03,0,0.03,0.03,0.03,Matches,2016-2017
17,Dani Alves,br BRA,"DF,MF",Juventus,33,1983,19,15,"1,359",15.1,2,3,5,2,0,0,5,0,0.13,0.2,0.33,0.13,0.33,Matches,2016-2017
18,Felipe Anderson,br BRA,"FW,MF",Lazio,23,1993,36,33,"2,908",32.3,4,8,12,3,1,1,5,0,0.12,0.25,0.37,0.09,0.34,Matches,2016-2017
19,Marco Andreolli,it ITA,DF,Inter,30,1986,6,4,362,4,1,0,1,1,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches,2016-2017
20,Gabriele Angella,it ITA,DF,Udinese,27,1989,14,10,"1,017",11.3,1,0,1,1,0,0,3,0,0.09,0,0.09,0.09,0.09,Matches,2016-2017
21,Cristian Ansaldi,ar ARG,"DF,MF",Inter,29,1986,21,17,"1,500",16.7,0,1,1,0,0,0,10,1,0,0.06,0.06,0,0.06,Matches,2016-2017
22,Luca Antei,it ITA,DF,Sassuolo,24,1992,15,11,"1,114",12.4,1,0,1,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches,2016-2017
23,Luca Antonelli,it ITA,"DF,MF",Milan,29,1987,7,3,309,3.4,0,1,1,0,0,0,1,0,0,0.29,0.29,0,0.29,Matches,2016-2017
24,Siniša Anđelković,si SVN,DF,Palermo,30,1986,22,21,"1,836",20.4,0,1,1,0,0,0,3,0,0,0.05,0.05,0,0.05,Matches,2016-2017
25,Carlos Apna Embaló,gw GNB,"FW,MF",Palermo,21,1994,12,8,621,6.9,0,1,1,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches,2016-2017
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2016-2017
