Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
160,Ivica Dragutinović,rs SRB,DF,Sevilla,34,1975,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
161,Royston Drenthe,nl NED,"DF,MF",Hércules,23,1987,17,15,"1,294",14.4,4,2,6,3,1,1,8,0,0.28,0.14,0.42,0.21,0.35,Matches,2010-2011
162,Duda,pt POR,"DF,FW",Málaga,30,1980,20,20,"1,574",17.5,3,6,9,3,0,0,6,0,0.17,0.34,0.51,0.17,0.51,Matches,2010-2011
163,Jerzy Dudek,pl POL,GK,Real Madrid,37,1973,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2010-2011
164,Aldo Duscher,ar ARG,MF,Espanyol,31,1979,18,14,"1,272",14.1,0,0,0,0,0,0,9,0,0,0,0,0,0,Matches,2010-2011
165,Edinho,pt POR,"FW,MF",Málaga,28,1982,8,1,238,2.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2010-2011
166,Edmílson,br BRA,"DF,MF",Zaragoza,34,1976,12,8,620,6.9,1,0,1,1,0,0,3,0,0.15,0,0.15,0.15,0.15,Matches,2010-2011
167,Sebastián Eguren,uy URU,MF,Sporting Gijón,29,1981,30,27,"2,227",24.7,1,0,1,1,0,0,9,1,0.04,0,0.04,0.04,0.04,Matches,2010-2011
168,Borja Ekiza,es ESP,DF,Athletic Club,22,1988,21,21,"1,890",21,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2010-2011
169,Elías,br BRA,MF,Atlético Madrid,25,1985,15,10,644,7.2,2,0,2,2,0,0,1,0,0.28,0,0.28,0.28,0.28,Matches,2010-2011
170,Eliseu,pt POR,"DF,MF",Málaga,26,1983,35,34,"2,937",32.6,4,5,9,4,0,1,12,2,0.12,0.15,0.28,0.12,0.28,Matches,2010-2011
171,Gorka Elustondo,es ESP,"DF,MF",Real Sociedad,23,1987,18,13,"1,184",13.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2010-2011
172,Sergi Enrich,es ESP,"FW,MF",Mallorca,20,1990,5,1,121,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2010-2011
173,Julien Escudé,fr FRA,DF,Sevilla,30,1979,28,27,"2,435",27.1,2,0,2,2,0,0,6,0,0.07,0,0.07,0.07,0.07,Matches,2010-2011
