Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
80,Mathieu Bodmer,fr FRA,"DF,MF",Nice,31,1982,22,21,"1,852",20.6,2,0,2,2,0,0,5,0,0.1,0,0.1,0.1,0.1,Matches,2014-2015
81,Olivier Boscagli,fr FRA,DF,Nice,16,1997,2,2,173,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
82,Alexy Bosetti,fr FRA,"FW,MF",Nice,21,1993,27,13,"1,226",13.6,5,1,6,5,0,0,3,0,0.37,0.07,0.44,0.37,0.44,Matches,2014-2015
83,Didier Bouanga,fr FRA,FW,Lorient,18,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
84,Zacharie Boucher,fr FRA,GK,Toulouse,22,1992,15,15,"1,350",15,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
85,Ryad Boudebouz,dz ALG,"FW,MF",Bastia,24,1990,34,32,"2,822",31.4,5,3,8,1,4,4,3,0,0.16,0.1,0.26,0.03,0.13,Matches,2014-2015
86,Sofiane Boufal,ma MAR,"FW,MF",Lille,20,1993,14,11,"1,013",11.3,3,6,9,1,2,2,1,0,0.27,0.53,0.8,0.09,0.62,Matches,2014-2015
87,Benjamin Boulenger,fr FRA,"DF,GK",Lens,24,1990,13,9,779,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
88,Benjamin Bourigeaud,fr FRA,"FW,MF",Lens,20,1994,20,12,"1,017",11.3,2,1,3,2,0,0,3,0,0.18,0.09,0.27,0.18,0.27,Matches,2014-2015
89,Grégory Bourillon,fr FRA,"DF,MF",Reims,30,1984,21,18,"1,463",16.3,1,0,1,1,0,0,5,0,0.06,0,0.06,0.06,0.06,Matches,2014-2015
90,Bilal Boutobba,fr FRA,"FW,MF",Marseille,15,1998,3,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
91,Martin Braithwaite,dk DEN,"FW,MF",Toulouse,23,1991,34,22,"2,122",23.6,6,2,8,6,0,0,0,0,0.25,0.08,0.34,0.25,0.34,Matches,2014-2015
92,Brandão,br BRA,FW,Bastia,34,1980,9,7,575,6.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2014-2015
93,Jonathan Brison,fr FRA,"DF,MF",Saint-Étienne,31,1983,18,9,962,10.7,1,0,1,1,0,0,5,0,0.09,0,0.09,0.09,0.09,Matches,2014-2015
94,Christian Brüls,be BEL,"FW,MF",Rennes,25,1988,9,6,586,6.5,0,3,3,0,0,0,1,0,0,0.46,0.46,0,0.46,Matches,2014-2015
95,Gianni Bruno,be BEL,"FW,MF",Evian,22,1991,17,10,834,9.3,1,1,2,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Matches,2014-2015
96,Gianni Bruno,be BEL,"FW,MF",Lorient,22,1991,12,3,419,4.7,1,0,1,1,0,0,0,0,0.21,0,0.21,0.21,0.21,Matches,2014-2015
97,Gaëtan Bussmann,fr FRA,DF,Metz,23,1991,31,31,"2,672",29.7,2,3,5,2,0,0,2,0,0.07,0.1,0.17,0.07,0.17,Matches,2014-2015
98,Bocundji Ca,gw GNB,MF,Reims,27,1986,5,0,131,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
99,Yohan Cabaye,fr FRA,MF,Paris S-G,28,1986,24,13,965,10.7,1,1,2,1,0,0,8,1,0.09,0.09,0.19,0.09,0.19,Matches,2014-2015
100,Yannick Cahuzac,fr FRA,MF,Bastia,29,1985,21,21,"1,746",19.4,1,2,3,1,0,0,8,2,0.05,0.1,0.15,0.05,0.15,Matches,2014-2015
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2014-2015
101,Jean Calvé,fr FRA,DF,Caen,30,1984,16,14,"1,338",14.9,2,1,3,2,0,0,0,0,0.13,0.07,0.2,0.13,0.2,Matches,2014-2015
102,Souleymane Camara,sn SEN,FW,Montpellier,31,1982,37,7,"1,346",15,3,2,5,3,0,0,0,0,0.2,0.13,0.33,0.2,0.33,Matches,2014-2015
103,Zoumana Camara,fr FRA,DF,Paris S-G,35,1979,8,6,595,6.6,1,0,1,1,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches,2014-2015
104,Cédric Cambon,fr FRA,"DF,MF",Evian,27,1986,26,24,"2,140",23.8,1,0,1,1,0,0,6,1,0.04,0,0.04,0.04,0.04,Matches,2014-2015
105,Fabien Camus,tn TUN,MF,Evian,29,1985,19,8,878,9.8,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2014-2015
