Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
13,Dennis Aogo,de GER,"DF,MF",Schalke 04,27,1987,25,20,"1,974",21.9,0,1,1,0,0,0,8,0,0,0.05,0.05,0,0.05,Matches,2014-2015
14,Maximilian Arnold,de GER,MF,Wolfsburg,20,1994,27,17,"1,669",18.5,4,2,6,4,0,0,8,0,0.22,0.11,0.32,0.22,0.32,Matches,2014-2015
15,Tolgay Arslan,de GER,MF,Hamburger SV,23,1990,13,8,650,7.2,0,1,1,0,0,0,2,0,0,0.14,0.14,0,0.14,Matches,2014-2015
16,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Dortmund,25,1989,33,31,"2,714",30.2,16,6,22,14,2,2,4,0,0.53,0.2,0.73,0.46,0.66,Matches,2014-2015
17,Levent Ayçiçek,de GER,MF,Werder Bremen,20,1994,11,5,539,6,1,0,1,1,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches,2014-2015
18,Kaan Ayhan,tr TUR,"DF,MF",Schalke 04,19,1994,15,10,960,10.7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2014-2015
19,Milan Badelj,hr CRO,MF,Hamburger SV,25,1989,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
20,Holger Badstuber,de GER,DF,Bayern Munich,25,1989,10,9,769,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
21,Daniel Baier,de GER,MF,Augsburg,30,1984,34,34,"3,054",33.9,1,1,2,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,Matches,2014-2015
22,Marvin Bakalorz,de GER,MF,Paderborn 07,24,1989,29,26,"2,171",24.1,1,2,3,1,0,0,2,1,0.04,0.08,0.12,0.04,0.12,Matches,2014-2015
23,Anderson Bamba,br BRA,DF,Eint Frankfurt,26,1988,22,19,"1,686",18.7,0,1,1,0,0,0,5,0,0,0.05,0.05,0,0.05,Matches,2014-2015
24,Philipp Bargfrede,de GER,MF,Werder Bremen,25,1989,16,15,"1,253",13.9,1,0,1,1,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches,2014-2015
25,Tranquillo Barnetta,ch SUI,MF,Schalke 04,29,1985,22,10,"1,077",12,3,4,7,3,0,0,0,0,0.25,0.33,0.58,0.25,0.58,Matches,2014-2015
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,2014-2015
26,Fin Bartels,de GER,"FW,MF",Werder Bremen,27,1987,29,27,"2,416",26.8,4,4,8,4,0,0,5,0,0.15,0.15,0.3,0.15,0.3,Matches,2014-2015
27,Oliver Baumann,de GER,GK,Hoffenheim,24,1990,34,34,"3,060",34,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
28,Timo Baumgartl,de GER,DF,Stuttgart,18,1996,20,18,"1,647",18.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2014-2015
29,Julian Baumgartlinger,at AUT,"DF,MF",Mainz 05,26,1988,26,26,"2,303",25.6,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,2014-2015
30,Andreas Beck,de GER,"DF,MF",Hoffenheim,27,1987,33,33,"2,965",32.9,0,2,2,0,0,0,5,0,0,0.06,0.06,0,0.06,Matches,2014-2015
31,Roy Beerens,nl NED,"FW,MF",Hertha BSC,26,1987,27,24,"2,072",23,4,1,5,4,0,0,3,0,0.17,0.04,0.22,0.17,0.22,Matches,2014-2015
32,Valon Behrami,ch SUI,"DF,MF",Hamburger SV,29,1985,22,22,"1,910",21.2,0,0,0,0,0,0,7,1,0,0,0,0,0,Matches,2014-2015
33,Maximilian Beister,de GER,"FW,MF",Hamburger SV,23,1990,5,0,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
34,Stefan Bell,de GER,DF,Mainz 05,22,1991,31,31,"2,790",31,3,1,4,3,0,0,2,0,0.1,0.03,0.13,0.1,0.13,Matches,2014-2015
35,Karim Bellarabi,de GER,"FW,MF",Leverkusen,24,1990,33,32,"2,711",30.1,12,6,18,12,0,0,5,0,0.4,0.2,0.6,0.4,0.6,Matches,2014-2015
36,Änis Ben-Hatira,tn TUN,MF,Hertha BSC,26,1988,15,11,832,9.2,4,4,8,4,0,0,3,0,0.43,0.43,0.87,0.43,0.87,Matches,2014-2015
37,Diego Benaglio,ch SUI,GK,Wolfsburg,30,1983,31,31,"2,790",31,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2014-2015
38,Medhi Benatia,ma MAR,DF,Bayern Munich,27,1987,15,13,"1,151",12.8,1,0,1,1,0,0,5,0,0.08,0,0.08,0.08,0.08,Matches,2014-2015
39,Lars Bender,de GER,"DF,MF",Leverkusen,25,1989,26,25,"2,018",22.4,1,3,4,1,0,0,5,0,0.04,0.13,0.18,0.04,0.18,Matches,2014-2015
40,Sven Bender,de GER,"DF,MF",Dortmund,25,1989,20,14,"1,256",14,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2014-2015
41,Nicklas Bendtner,dk DEN,FW,Wolfsburg,26,1988,18,5,576,6.4,1,0,1,1,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches,2014-2015
42,Pierre Bengtsson,se SWE,"DF,MF",Mainz 05,26,1988,13,10,969,10.8,0,1,1,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches,2014-2015
43,Juan Bernat,es ESP,"DF,FW",Bayern Munich,21,1993,31,28,"2,556",28.4,1,0,1,1,0,0,1,0,0.04,0,0.04,0.04,0.04,Matches,2014-2015
44,Thomas Bertels,de GER,"DF,FW",Paderborn 07,27,1986,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2014-2015
45,Ermin Bičakčić,ba BIH,DF,Hoffenheim,24,1990,24,24,"2,069",23,1,0,1,1,0,0,5,1,0.04,0,0.04,0.04,0.04,Matches,2014-2015
