S,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
126,Sergiño Dest,us USA,"DF,FW",Barcelona,19,2000,30,23,"1,909",21.2,2,1,3,2,0,0,1,0,1.7,1.7,2.1,3.8,74,76,218,0.09,0.05,0.14,0.09,0.14,0.08,0.1,0.18,0.08,0.18,Matches,2020-2021
127,Deyverson,br BRA,FW,Alavés,29,1991,27,11,874,9.7,1,3,4,1,0,0,4,0,1.5,1.5,2.4,3.8,5,27,48,0.1,0.31,0.41,0.1,0.41,0.15,0.25,0.4,0.15,0.4,Matches,2020-2021
128,Abdoulay Diaby,ml MLI,DF,Getafe,29,1991,1,0,18,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,2,0,4,0,0,0,0,0,1.31,0.34,1.65,1.31,1.65,Matches,2020-2021
129,Mouctar Diakhaby,gn GUI,DF,Valencia,23,1996,26,24,"2,079",23.1,1,0,1,1,0,0,4,1,1.2,1.2,0,1.2,7,47,8,0.04,0,0.04,0.04,0.04,0.05,0,0.05,0.05,0.05,Matches,2020-2021
130,Víctor Díaz,es ESP,DF,Granada,32,1988,17,7,828,9.2,0,2,2,0,0,0,3,0,0.4,0.4,0.5,0.9,8,32,9,0,0.22,0.22,0,0.22,0.05,0.05,0.1,0.05,0.1,Matches,2020-2021
131,Papakouli Diop,sn SEN,MF,Eibar,34,1986,33,28,"2,324",25.8,1,1,2,1,0,0,9,2,1.7,1.6,0.8,2.4,12,98,21,0.04,0.04,0.08,0.04,0.08,0.06,0.03,0.09,0.06,0.09,Matches,2020-2021
132,Djené,tg TOG,DF,Getafe,28,1991,34,34,"2,941",32.7,0,1,1,0,0,0,8,2,0.2,0.2,0.4,0.5,11,71,11,0,0.03,0.03,0,0.03,0.01,0.01,0.02,0.01,0.02,Matches,2020-2021
133,Marko Dmitrović,rs SRB,GK,Eibar,28,1992,35,35,"3,120",34.7,1,0,1,0,1,2,0,0,1.6,0,0.7,0.7,0,3,0,0.03,0,0.03,0,0,0.05,0.02,0.07,0,0.02,Matches,2020-2021
134,Jaume Doménech,es ESP,GK,Valencia,29,1990,28,28,"2,520",28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
135,Carlos Dominguez,es ESP,DF,Celta Vigo,19,2001,4,4,360,4,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,2,7,0,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07,Matches,2020-2021
