Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,UCL_progress,Season,,,,
25,ru  Zenit,6,2,1,3,6,9,-3,7,,Danny - 2,Vyacheslav Malafeev,Group Stage,2012-2013,,,,
26,ru  Spartak Moscow,8,2,1,5,10,16,-6,7,,Emmanuel Emenike - 2,"Andriy Dykan, Sergei Pesyakov...",Group Stage,2012-2013,,,,
27,pt  Braga,8,1,2,5,9,15,-6,5,,Alan - 5,Beto,Group Stage,2012-2013,,,,
28,nl  Ajax,6,1,1,4,8,16,-8,4,,Siem de Jong - 3,Kenneth Vermeer,Group Stage,2012-2013,,,,
29,fr  Lille,8,1,1,6,6,14,-8,4,,"Salomon Kalou, Gianni Bruno... - 1",Mickaël Landreau,Group Stage,2012-2013,,,,
30,eng  Manchester City,6,0,3,3,7,11,-4,3,,Sergio Agüero - 2,Joe Hart,Group Stage,2012-2013,,,,
31,fr  Montpellier,6,0,2,4,6,12,-6,2,,Younès Belhanda - 2,Geoffrey Jourdren,Group Stage,2012-2013,,,,
32,dk  Nordsjælland,6,0,1,5,4,22,-18,1,,"Joshua John, Mikkel Beckmann... - 1",Jesper Hansen,Group Stage,2012-2013,,,,
1,es  Real Madrid,13,10,2,1,41,10,31,32,,Cristiano Ronaldo - 17,Iker Casillas,Winner,2013-2014,,,,
,,,,,,,,,,,,,,2013-2014,,,,
2,es  Atlético Madrid,13,7,5,1,26,10,16,26,,Diego Costa - 8,Thibaut Courtois,Runner up,2013-2014,,,,
,,,,,,,,,,,,,,2013-2014,,,,
3,de  Bayern Munich,12,6,4,2,24,13,11,22,,Thomas Müller - 5,Manuel Neuer,Semi Finalist,2013-2014,,,,
4,eng  Chelsea,12,4,5,3,19,10,9,17,,Fernando Torres - 4,Petr Čech,Semi Finalist,2013-2014,,,,
,,,,,,,,,,,,,,2013-2014,,,,
5,fr  Paris S-G,10,6,2,2,25,9,16,20,,Zlatan Ibrahimović - 10,Salvatore Sirigu,Quarter Finalist,2013-2014,,,,
6,es  Barcelona,10,5,3,2,21,8,13,18,,Lionel Messi - 8,Víctor Valdés,Quarter Finalist,2013-2014,,,,
7,eng  Manchester Utd,10,5,3,2,17,9,8,18,,Robin van Persie - 4,David de Gea,Quarter Finalist,2013-2014,,,,
8,de  Dortmund,10,5,2,3,18,13,5,17,,Robert Lewandowski - 6,Roman Weidenfeller,Quarter Finalist,2013-2014,,,,
,,,,,,,,,,,,,,2013-2014,,,,
9,ru  Zenit,12,4,5,3,23,17,6,17,,Hulk - 4,Yuri Lodygin,Round of 16,2013-2014,,,,
10,eng  Arsenal,10,5,2,3,14,8,6,17,,"Olivier Giroud, Jack Wilshere... - 2",Wojciech Szczęsny,Round of 16,2013-2014,,,,
11,eng  Manchester City,8,5,0,3,19,14,5,15,,Sergio Agüero - 6,Joe Hart,Round of 16,2013-2014,,,,
12,de  Schalke 04,10,4,2,4,12,18,-6,14,,Julian Draxler - 3,"Ralf Fährmann, Timo Hildebrand",Round of 16,2013-2014,,,,
13,gr  Olympiacos,8,4,1,3,12,11,1,13,,"Kostas Mitroglou, Chori Domínguez - 3",Roberto,Round of 16,2013-2014,,,,
14,it  Milan,10,2,5,3,13,11,2,11,,"Kaká, Mario Balotelli - 2",Christian Abbiati,Round of 16,2013-2014,,,,
15,de  Leverkusen,8,3,1,4,10,16,-6,10,,Simon Rolfes - 3,Bernd Leno,Round of 16,2013-2014,,,,
16,tr  Galatasaray,8,2,2,4,9,17,-8,8,,Umut Bulut - 3,Fernando Muslera,Round of 16,2013-2014,,,,
,,,,,,,,,,,,,,2013-2014,,,,
17,cz  Viktoria Plzeň,12,6,1,5,26,24,2,19,,"Daniel Kolář, Marek Bakoš... - 1",Matúš Kozáčik,Group Stage,2013-2014,,,,
18,ch  Basel,10,4,4,2,15,11,4,16,,Mohamed Salah - 2,Yann Sommer,Group Stage,2013-2014,,,,
19,ro  Steaua,12,3,6,3,13,15,-2,15,,"Federico Piovaccari, Leandro Tatu - 1",Ciprian Tătărușanu,Group Stage,2013-2014,,,,
20,at  Austria Wien,10,3,4,3,10,13,-3,13,,"Roman Kienast, Philipp Hosiner - 2",Heinz Lindner,Group Stage,2013-2014,,,,
21,it  Napoli,6,4,0,2,10,9,1,12,,Gonzalo Higuaín - 4,Pepe Reina,Group Stage,2013-2014,,,,
22,sct  Celtic,12,3,3,6,12,16,-4,12,,"Beram Kayal, James Forrest... - 1",Fraser Forster,Group Stage,2013-2014,,,,
23,pt  Benfica,6,3,1,2,8,8,0,10,,"Filip Đuričić, Nicolás Gaitán... - 1",Artur Moraes,Group Stage,2013-2014,,,,
24,ua  Shakhtar,6,2,2,2,7,6,1,8,,Alex Teixeira - 3,Andriy Pyatov,Group Stage,2013-2014,,,,
25,nl  Ajax,6,2,2,2,5,8,-3,8,,Lasse Schöne - 2,Jasper Cillessen,Group Stage,2013-2014,,,,
26,it  Juventus,6,1,3,2,9,9,0,6,,Arturo Vidal - 5,Gianluigi Buffon,Group Stage,2013-2014,,,,
27,pt  Porto,6,1,2,3,4,7,-3,5,,"Lucho González, Jackson Martínez - 2",Helton Arruda,Group Stage,2013-2014,,,,
28,es  Real Sociedad,8,1,2,5,5,10,-5,5,,Carlos Vela - 1,Claudio Bravo,Group Stage,2013-2014,,,,
29,dk  FC Copenhagen,6,1,1,4,4,13,-9,4,,"Nicolai Jørgensen, Daniel Braaten... - 1",Johan Wiland,Group Stage,2013-2014,,,,
30,ru  CSKA Moscow,6,1,0,5,8,17,-9,3,,"Keisuke Honda, Seydou Doumbia... - 2",Igor Akinfeev,Group Stage,2013-2014,,,,
31,be  Anderlecht,6,0,1,5,4,17,-13,1,,"Massimo Bruno, Sacha Kljestan... - 1","Thomas Kaminski, Silvio Proto",Group Stage,2013-2014,,,,
32,fr  Marseille,6,0,0,6,5,14,-9,0,,André Ayew - 2,Steve Mandanda,Group Stage,2013-2014,,,,
1,es  Barcelona,13,11,0,2,31,11,20,33,"82,904","Lionel Messi, Neymar - 10",Marc-André ter Stegen,Winner,2014-2015,,,,
,,,,,,,,,,,,,,2014-2015,,,,
2,it  Juventus,13,7,3,3,17,10,7,24,"42,839",Carlos Tevez - 7,Gianluigi Buffon,Runner up,2014-2015,,,,
,,,,,,,,,,,,,,2014-2015,,,,
3,es  Real Madrid,12,8,2,2,24,9,15,26,"71,149",Cristiano Ronaldo - 10,Iker Casillas,Semi Finalist,2014-2015,,,,
4,de  Bayern Munich,12,8,1,3,33,13,20,25,"69,000",Thomas Müller - 7,Manuel Neuer,Semi Finalist,2014-2015,,,,
,,,,,,,,,,,,,,2014-2015,,,,
5,pt  Porto,12,8,3,1,28,12,16,27,"41,088",Jackson Martínez - 7,Fabiano,Quarter Finalist,2014-2015,,,,
6,es  Atlético Madrid,10,5,2,3,15,5,10,17,"43,954",Mario Mandžukić - 5,Miguel Ángel Moyá,Quarter Finalist,2014-2015,,,,
7,fr  Monaco,10,4,3,3,7,5,2,15,"9,848","Aymen Abdennour, Dimitar Berbatov... - 1",Danijel Subašić,Quarter Finalist,2014-2015,,,,
8,fr  Paris S-G,10,4,3,3,14,15,-1,15,"45,227",Edinson Cavani - 6,Salvatore Sirigu,Quarter Finalist,2014-2015,,,,
,,,,,,,,,,,,,,2014-2015,,,,
9,eng  Arsenal,10,6,2,2,19,11,8,20,"59,904","Danny Welbeck, Alexis Sánchez... - 3",Wojciech Szczęsny,Round of 16,2014-2015,,,,
