Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
98,Sondre Brunstad Fet,no NOR,MF,no Bodø/Glimt,28-274,1997,2,1,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0,0.8,1,6,5,0.84,0,0.84,0.84,0.84,0.64,0.02,0.66,0.64,0.66,Matches
99,Tajon Buchanan,ca CAN,"MF,FW",es Villarreal,26-252,1999,2,2,144,1.6,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,2,1,6,0,0,0,0,0,0.29,0,0.29,0.29,0.29,Matches
100,Facundo Buonanotte,ar ARG,MF,eng Chelsea,20-299,2004,1,1,53,0.6,0,0,0,0,0,0,1,0,0,0,0,0,2,1,5,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
101,Alessandro Buongiorno,it ITA,DF,it Napoli,26-134,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Christian Burgess,eng ENG,DF,be Union SG,34-011,1991,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,Matches
103,Jonathan Burkardt,de GER,FW,de Eint Frankfurt,25-099,2000,2,2,161,1.8,2,1,3,2,0,0,1,0,0.5,0.5,0.3,0.8,2,2,6,1.12,0.56,1.68,1.12,1.68,0.31,0.16,0.46,0.31,0.46,Matches
104,Dan Burn,eng ENG,DF,eng Newcastle Utd,33-162,1992,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,5,1,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
105,Pape Cabral,fr FRA,MF,fr Monaco,18-271,2007,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.63,0,0.63,0.63,0.63,Matches
106,Moisés Caicedo,ec ECU,MF,eng Chelsea,23-350,2001,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,14,1,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,Matches
107,Uğurcan Çakır,tr TUR,GK,tr Galatasaray,29-196,1996,2,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
108,Riccardo Calafiori,it ITA,DF,eng Arsenal,23-152,2002,1,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
109,Hakan Çalhanoğlu,tr TUR,MF,it Inter,31-252,1994,2,2,176,2,0,2,2,0,0,0,0,0,0.3,0.3,0.3,0.5,2,12,5,0,1.02,1.02,0,1.02,0.14,0.13,0.26,0.14,0.26,Matches
110,Lamine Camara,sn SEN,MF,fr Monaco,21-290,2004,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Eduardo Camavinga,fr FRA,MF,es Real Madrid,22-342,2002,1,0,11,0.1,1,0,1,1,0,0,0,0,0.4,0.4,0,0.4,1,1,1,8.18,0,8.18,8.18,8.18,3.36,0,3.36,3.36,3.36,Matches
112,Andrea Cambiaso,it ITA,DF,it Juventus,25-240,2000,2,2,168,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,9,6,10,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09,Matches
113,Shandre Campbell,za RSA,DF,be Club Brugge,20-095,2005,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
