UCL_progress,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes,Season
QF,pt  Benfica,10,5,2,3,15,12,3,17,Nicolás Gaitán - 4,Júlio César,,2015-2016
R16,ru  Zenit,8,5,0,3,14,9,5,15,Artem Dzyuba - 6,Yuri Lodygin,,2015-2016
R16,eng  Chelsea,8,4,1,3,15,7,8,13,Willian - 5,Asmir Begović,,2015-2016
R16,ua  Dynamo Kyiv,8,3,3,2,9,7,2,12,"Andriy Yarmolenko, Vitaliy Buyalskyi - 2",Oleksandr Shovkovskiy,,2015-2016
R16,it  Juventus,8,3,3,2,10,9,1,12,"Álvaro Morata, Mario Mandžukić - 2",Gianluigi Buffon,,2015-2016
R16,nl  PSV Eindhoven,8,3,3,2,8,7,1,12,"Luuk de Jong, Maxime Lestienne - 2",Jeroen Zoet,,2015-2016
R16,be  Gent,8,3,1,4,10,11,-1,10,Danijel Milićević - 3,Matz Sels,,2015-2016
R16,eng  Arsenal,8,3,0,5,13,15,-2,9,Olivier Giroud - 5,Petr Čech,,2015-2016
R16,it  Roma,8,1,3,4,11,20,-9,6,"Miralem Pjanić, Edin Džeko... - 2",Wojciech Szczęsny,,2015-2016
GR,by  BATE Borisov,12,4,4,4,11,16,-5,16,Filip Mladenović - 2,Sergei Chernik,,2015-2016
GR,kz  FC Astana,12,3,6,3,14,17,-3,15,Patrick Twumasi - 2,Nenad Erić,,2015-2016
GR,hr  Dinamo Zagreb,12,4,3,5,17,21,-4,15,"Junior Fernándes, Josip Pivarić... - 1",Eduardo Carvalho,,2015-2016
GR,eng  Manchester Utd,8,4,2,2,14,8,6,14,Anthony Martial - 2,David de Gea,,2015-2016
GR,se  Malmö,12,4,1,7,9,26,-17,13,Markus Rosenberg - 1,Johan Wiland,,2015-2016
GR,ru  CSKA Moscow,10,3,2,5,14,16,-2,11,Seydou Doumbia - 3,Igor Akinfeev,,2015-2016
GR,ua  Shakhtar,10,3,2,5,13,16,-3,11,Alex Teixeira - 3,Andriy Pyatov,,2015-2016
GR,pt  Porto,6,3,1,2,9,8,1,10,Vincent Aboubakar - 3,Iker Casillas,,2015-2016
GR,de  Leverkusen,8,2,3,3,16,13,3,9,Javier Hernández - 5,Bernd Leno,,2015-2016
GR,es  Valencia,8,3,0,5,9,12,-3,9,"João Cancelo, Sofiane Feghouli... - 1",Jaume Doménech,,2015-2016
GR,gr  Olympiacos,6,3,0,3,6,13,-7,9,Felipe Pardo - 3,Roberto,,2015-2016
GR,il  Maccabi Tel Aviv,12,2,2,8,13,24,-11,8,Eran Zahavi - 1,Predrag Rajković,,2015-2016
GR,es  Sevilla,6,2,0,4,8,11,-3,6,"Yevhen Konoplyanka, Éver Banega - 2",Sergio Rico,,2015-2016
GR,de  Gladbach,6,1,2,3,8,12,-4,5,Lars Stindl - 3,Yann Sommer,,2015-2016
GR,tr  Galatasaray,6,1,2,3,6,10,-4,5,"Lukas Podolski, Selçuk İnan - 2",Fernando Muslera,,2015-2016
GR,fr  Lyon,6,1,1,4,5,9,-4,4,Alexandre Lacazette - 2,Anthony Lopes,,2015-2016
W,es  Real Madrid,13,9,3,1,35,18,17,30,Cristiano Ronaldo - 12,Keylor Navas,→ Champions League via playoff win,2016-2017
F,it  Juventus,13,9,3,1,22,6,16,30,Gonzalo Higuaín - 5,Gianluigi Buffon,,2016-2017
SF,es  Atlético Madrid,12,9,1,2,18,10,8,28,Antoine Griezmann - 6,Jan Oblak,,2016-2017
SF,fr  Monaco,12,5,3,4,19,19,0,18,Kylian Mbappé - 6,Danijel Subašić,,2016-2017
QF,es  Barcelona,10,6,1,3,26,12,14,19,Lionel Messi - 11,Marc-André ter Stegen,,2016-2017
QF,de  Bayern Munich,10,6,0,4,27,14,13,18,Robert Lewandowski - 8,Manuel Neuer,,2016-2017
QF,de  Dortmund,10,5,2,3,28,16,12,17,Pierre-Emerick Aubameyang - 7,Roman Bürki,,2016-2017
QF,eng  Leicester City,10,5,2,3,11,10,1,17,Riyad Mahrez - 4,Kasper Schmeichel,,2016-2017
R16,fr  Paris S-G,8,4,3,1,18,13,5,15,Edinson Cavani - 8,Alphonse Areola,,2016-2017
